nom;secteur;region;info
2M INDUSTRIES – SARL;agricule;Algérie;+213 23 88 46 43
AÇAN METAL ?N?AAT PLAST?K GER? DÖNÜ?ÜM SANAY? VE T?CARET L?M?TED ??RKET?;agricule;Turquie;+90 232 469 12 96
ACEMO;agricule;France;-
ACQUA AZZURRA SRL;agricule;Italie;393 667 873 560
AD ASTRA S.R.L.;agricule;Italie;393 357 704 812
ADAFER GÜBRE ve Tar?m ?laçlar? San. Tic. Ltd. ?ti.;agricule;Turquie;+90 (322) 394 33 99
ADICALES ALGERIE – SARL;agricule;Algérie;+213 41 21 84 25
AFKO METAL ALGERIE – SARL;agricule;Algérie;+213 (0)554 08 72 20
AGENCE NATIONALE DE PROMOTION DES EXPORTATIONS – ALGEX;agricule;Algérie;+213 23 83 87 89
AGRANA FRUIT ALGERIA – SPA;agricule;Algérie;+213 34 19 61 82-83
AGRI DIAM – SARL;agricule;Algérie;21 325 232 020
AGRI MAX – SARL;agricule;Algérie;+213 560 00 88 65
AGRISSEM IMPORT EXPORT – SARL;agricule;Algérie;+213 36 77 36 46
AGRITECHNICA – DLG SERVICE GMBH;agricule;Allemagne;+49 692 4788-358
Agritubel;agricule;France;-
AGRO ALIMENTAIRE ACTIVITE SPA (3A);agricule;Alger;213 21 78 17 40
AGRO BOVINE SERVICES – SARL;agricule;Algérie;+213 560 16 53 79
AGRO PLUS ALGERIE – SARL;agricule;Algérie;+213 770 70 84 82
AGROCAN TARIMSAL ÜRÜNLER SAN VE TIC A?;agricule;Turquie;0322 394 55 06
AGRODIV – Filiale Céréales Centre;agricule;Algérie;+213 (0)25 20 83 30
AGROESPACE – SARL;agricule;Algérie;+213 29 21 59 66
AGROSOUF;agricule;Algérie;032 14 60 61
AGRYA ZEMZEM;agricule;Algérie;033 32 63 96
AIREE – SARL;agricule;Algérie;+213 542 43 74 05
AIRLAB – SARL;agricule;Algérie;+213 21 91 73-77
AIT HELLAL RAHIM – IDURAR;agricule;Algérie;+213 560 02 59 36
AKRAM INVESTISSEMENT – SARL;agricule;Algérie;+213 661 19 86 32 - 0770262425
AKUAKARE DI? T?CARET A.?.;agricule;Turquie;+90 252 513 64 37- 513 65 37
AL BARAKA BANK;agricule;Algérie;-
AL SALAM BANK ALGERIA SPA;agricule;Algérie;+213 38 88 88
ALBERK POULTRY PROSESSING EQUIPEMENT;agricule;Turquie;90 216 429 73 93
ALCHEMIST;agricule;Algérie;-
ALFARM TARIM HAYVANCILIK TEKNOLOJ?LER? ?Ç VE DI? T?C. LTD. ?T?.;agricule;Turquie;903 325 010 037
ALGERIAN VET MARKET – SARL;agricule;Algérie;+216 (0) 770 07 22 03
ALGERIANS BOVINES SARL;agricule;Algérie;+213 23 45 09 44
ALGERIENNE DES INDUSTRIES TECHNOLOGIQUES AITECH – SARL;agricule;Algérie;+213 697 88 77 62
ALGERIENNE GEOMEMBRANE MECHRI ALGM – SARL;agricule;Algérie;+213 35 873 127
ALGHADEER PACKING SACKS & THREADS FACTORY;agricule;Arabie Saoudite;966 135 331 432
ALGOMAT – SARL;agricule;Algérie;+213 21 23 96 33-38
ALICOOP;agricule;France;33 549 763 015
ALIPHOS;agricule;Belgique;-
ALIVOL – SARL;agricule;Algérie;+213 779 00 90 97
ALKHORAYEF INDUSTRIES CO;agricule;Arabie Saoudite;+966 55 442 1529
ALL PLAST – SARL;agricule;Algérie;+213 34 19 61 11-14
ALL VEGETABLE SOLUTIONS – GROUPE SIMON;agricule;France;+33 2 40 80 17 49
ALLER AQUA;agricule;Danemark;213 669 453 007
ALLER-AQUA ALGERIE -SARL;agricule;Algérie;+213 (0)661 61 62 53
ALPHYT – SPA;agricule;Algérie;+213 21 50 88 05- 75 03
ALPRODAQ – SARL;agricule;Algérie;-
ALTINBILEK MAKINA ?NS. SAN. VE TIC. A.?.;agricule;Turquie;+90 222 236 13 99
AMAG PRO – SARL;agricule;Algérie;+213 25 20 01 63
AMBASSADE D’AFRIQUE DU SUD;agricule;Algérie;+213 23 48 03 64
AMBASSADE DE LA REPUBLIQUE D’ETHIOPIE;agricule;Algérie;+213 23 381 429
AMBASSADE DE LA RÉPUBLIQUE UNI DE TANZANIE;agricule;Algérie;+213 23 48 44 11
AMBASSADE DE MADAGASCAR;agricule;Algérie;+213 23 06 64 14
AMBASSADE D’EGYPTE;agricule;Algérie;+213 23 48 06 91
AMBASSADE DU BRESIL A ALGER;agricule;brésil;+213 23 05 28 19-17
AMBASSADE DU ROYAUME DES PAYS BAS EN ALGERIE;agricule;Algérie;+213(0) 23 05 28 47 +31 (0) 70 344 15 86
AMBASSADE DU ZIMBABWE;agricule;Algérie;+213 23 27 80 20
AMENHYD SPA;agricule;Algérie;+213(0) 23 832 122
ANEXAL;agricule;Algérie;213 (0) 23 84 32 52
ANIMAXY PRODUCTION – SARL;agricule;Algérie;+213 670 30 34 84
ANVREDET;agricule;Algérie;+213 778 33 82 79
APAB (Association des producteurs algériens de boissons);agricule;Algérie;+213 23 11 70 78
AQUACOLE EL AMEL (ORIACHE OMAR);agricule;Algérie;+213 550 70 31 80
AQUAGRO INVESTMENT BET;agricule;Algérie;+213(0) 793 55 34 11
ARBOR ACRES ALGERIE -SARL;agricule;Algérie;+213 43 59 15 15
ARION FASOLI SRL;agricule;Italie;390 365 654 152
ARM & HAMMER;agricule;Usa;-
ASSOCIATION GROUPE D’AGRICULTURES INVESTISSEUR;agricule;Algérie;+213 553 35 42 90
ASTALAVISTA;agricule;Algérie;+213(0)770272672
ASTER S.R.L;agricule;Italie;+39 (0)923 989177
ATLANTIS MÜHENDISLIK;agricule;Turquie;+ 90 216 344 86 74
ATLAS SO?UTMA SISTEMLERI SAN.VE T?C.A.?.;agricule;Turquie;+90 216 642 58 22
AUBNEAU;agricule;France;-
AVAGRO TARIM KLMYA URE.ITH.IHR.PAZ.SAN.TIC.LTD.STI.;agricule;Turquie;+90 242 221 62 26
AVIAGEN TURKEYS;agricule;France;33 296 300 600
AVICO;agricule;Jordanie;-
AYTAV POULTRY EQUIPMENT;agricule;Turquie;+90212 682 00 15
BACTELIFE;agricule;Etats unis;1 435-256-1046
BADINOTTI GROUP SPA;agricule;Italie;+39 02 539 1070
BAFAGRO INVEST – SARL;agricule;Algérie;+213 541 31 97 38
BAHCO;agricule;France;-
BALCHEM;agricule;Italie;00 390543449411
BALCHEM ITALIA S.R.L;agricule;Italie;-
BANQUE DE DEVELOPPEMENT LOCAL BDL;agricule;Algérie;+213 21 39 37 67
BANQUE DE L’AGRICULTURE ET DU DEVELOPPEMENT RURAL – BADR;agricule;Algérie;+213 21 98 92 07
BANQUE EXTÉRIEUR D’ALGERIE BEA;agricule;Algérie;+213 23 43 77 44
BANQUE NATIONALE D’ALGERIE ( BNA );agricule;Algérie;+213 23 77 20 18-00
BASF;agricule;Allemagne;-
BAYLE SA;agricule;France;+33 4 77 30 10 19
BECOT CLIMATIQUE;agricule;France;-
BEJO ZADEN B.V;agricule;Pays-Bas;+33 2 26 39 61 62
BENBARA LAID IMPORT EXPORT EURL;agricule;Algérie;+213 665 83 27 80
BEST S.R.L.;agricule;Italie;+39 045 92 31 307
BESURE TECHNOLOGY CO.,LTD;agricule;Chine;18823150357
BIG DUTCHMAN;agricule;Allemagne;+49 0 4447 8010
BIOLAB VETERINAIRE – SARL;agricule;Algérie;+213 23 74 90 04
BIOPLAGEN;agricule;Espagne;-
BIT BAIT ALGERIE – SARL;agricule;Algérie;+213 23 57 13 46
BOSHE SYSTEM BAU GMH;agricule;Allemagne;49 444 189 330
BOUBLENZA – SARL;agricule;Algérie;+213 560 93 69 06
BPI ENH DOUDAH – SARL;agricule;Algérie;024 79 74 88
BTB DAWAJINE BENTERKIA;agricule;Algérie;+213(0) 553 37 26 73
BUREAU NATIONAL D’ETUDES POUR LE DEVELOPPEMENT (BNEDER);agricule;Algérie;+213 23 27 62 23
BUSINESS FRANCE;agricule;France;+331 40 73 30 00
BUSINESS LEADS ALGERIA – BLA;agricule;Algérie;+213 (0) 770 383 216
C-LINES INTERNATIONAL;agricule;France;+33 2 38 22 43 50
CA.RE.DI;agricule;Italie;39 042 294 812
CAA – SARL;agricule;Algérie;+213 34 82 25 28-29
CAMPAGNOLA;agricule;Italie;-
CANGZHOU THOMAS MACHINERY MANUFACTURING CO , LTD;agricule;Chine;8,62E+12
CAPC (La Confédération algérienne du patronat citoyen);agricule;Algérie;+213 770 88 90 80
CATTARUZZI S.R.L;agricule;Italie;+39 0 30 35 31 875
CEIMI;agricule;Algérie;+213 25 22 54 70
CENAVISA;agricule;Espagne;-
CESCO EPC ITALIA SRI;agricule;Italie;+39 0522 94 36 12
CEVA SANTE ANIMALE;agricule;Algérie;-
CEVAVET – SARL;agricule;Algérie;+213 23 07 73 20-25
